FortissDeviceNamespaceMetadata,15001,Object
FortissDeviceNamespaceMetadata_NamespaceUri,15002,Variable
FortissDeviceNamespaceMetadata_NamespaceVersion,15003,Variable
FortissDeviceNamespaceMetadata_NamespacePublicationDate,15004,Variable
FortissDeviceNamespaceMetadata_IsNamespaceSubset,15005,Variable
FortissDeviceNamespaceMetadata_StaticNodeIdTypes,15006,Variable
FortissDeviceNamespaceMetadata_StaticNumericNodeIdRange,15007,Variable
FortissDeviceNamespaceMetadata_StaticStringNodeIdPattern,15008,Variable
FortissDeviceNamespaceMetadata_NamespaceFile,15009,Object
FortissDeviceNamespaceMetadata_NamespaceFile_Size,15010,Variable
FortissDeviceNamespaceMetadata_NamespaceFile_Writable,15011,Variable
FortissDeviceNamespaceMetadata_NamespaceFile_UserWritable,15012,Variable
FortissDeviceNamespaceMetadata_NamespaceFile_OpenCount,15013,Variable
FortissDeviceNamespaceMetadata_NamespaceFile_MimeType,15014,Variable
FortissDeviceNamespaceMetadata_NamespaceFile_Open,15015,Method
FortissDeviceNamespaceMetadata_NamespaceFile_Open_InputArguments,15016,Variable
FortissDeviceNamespaceMetadata_NamespaceFile_Open_OutputArguments,15017,Variable
FortissDeviceNamespaceMetadata_NamespaceFile_Close,15018,Method
FortissDeviceNamespaceMetadata_NamespaceFile_Close_InputArguments,15019,Variable
FortissDeviceNamespaceMetadata_NamespaceFile_Read,15020,Method
FortissDeviceNamespaceMetadata_NamespaceFile_Read_InputArguments,15021,Variable
FortissDeviceNamespaceMetadata_NamespaceFile_Read_OutputArguments,15022,Variable
FortissDeviceNamespaceMetadata_NamespaceFile_Write,15023,Method
FortissDeviceNamespaceMetadata_NamespaceFile_Write_InputArguments,15024,Variable
FortissDeviceNamespaceMetadata_NamespaceFile_GetPosition,15025,Method
FortissDeviceNamespaceMetadata_NamespaceFile_GetPosition_InputArguments,15026,Variable
FortissDeviceNamespaceMetadata_NamespaceFile_GetPosition_OutputArguments,15027,Variable
FortissDeviceNamespaceMetadata_NamespaceFile_SetPosition,15028,Method
FortissDeviceNamespaceMetadata_NamespaceFile_SetPosition_InputArguments,15029,Variable
FortissDeviceNamespaceMetadata_NamespaceFile_ExportNamespace,15030,Method
FortissDeviceNamespaceMetadata_DefaultRolePermissions,15031,Variable
FortissDeviceNamespaceMetadata_DefaultUserRolePermissions,15032,Variable
FortissDeviceNamespaceMetadata_DefaultAccessRestrictions,15033,Variable
SkillType,15034,ObjectType
SkillType_CurrentState,15035,Variable
SkillType_CurrentState_Id,15036,Variable
SkillType_CurrentState_Name,15037,Variable
SkillType_CurrentState_Number,15038,Variable
SkillType_CurrentState_EffectiveDisplayName,15039,Variable
SkillType_LastTransition,15040,Variable
SkillType_LastTransition_Id,15041,Variable
SkillType_LastTransition_Name,15042,Variable
SkillType_LastTransition_Number,15043,Variable
SkillType_LastTransition_TransitionTime,15044,Variable
SkillType_LastTransition_EffectiveTransitionTime,15045,Variable
SkillType_AvailableStates,15046,Variable
SkillType_AvailableTransitions,15047,Variable
SkillType_Creatable,15048,Variable
SkillType_Deletable,15049,Variable
SkillType_AutoDelete,15050,Variable
SkillType_RecycleCount,15051,Variable
SkillType_InstanceCount,15052,Variable
SkillType_MaxInstanceCount,15053,Variable
SkillType_MaxRecycleCount,15054,Variable
SkillType_ProgramDiagnostic,15055,Variable
SkillType_ProgramDiagnostic_CreateSessionId,15056,Variable
SkillType_ProgramDiagnostic_CreateClientName,15057,Variable
SkillType_ProgramDiagnostic_InvocationCreationTime,15058,Variable
